trip_id,vehicle_id,driver_id,distance_km,fuel_liters,trip_date
T000001,V045,D18,60.35031438021489,21.709757923603892,2025-08-25
T000002,V004,D14,141.6495075230713,58.749457419163676,2025-01-17
T000003,V026,D13,447.5306461044745,280.12936040707245,2025-12-20
T000004,V037,D10,107.60126878478637,349.1950923964919,2025-01-11
T000005,V028,D30,439.08002648329705,44.04060538733638,2025-05-29
T000006,V043,D07,202.94898984196695,326.38773933637674,2025-04-19
T000007,V049,D24,862.9277994419658,335.15612994408036,2025-09-06
T000008,V003,D26,689.9394551566439,38.203654814022855,2025-07-23
T000009,V046,D19,313.7277153009871,178.92682051023644,2025-01-30
T000010,V025,D13,359.8522895737001,189.2358542301066,2025-08-12
T000011,V005,D10,156.0389799643877,115.4270267395176,2025-12-08
T000012,V029,D15,1132.3382990164612,80.49466253667335,2025-06-10
T000013,V046,D23,768.5489019183606,84.84907135776601,2025-11-22
T000014,V003,D12,326.86444784390557,300.30495001917353,2025-04-19
T000015,V005,D11,571.7326479734096,207.95542729963066,2026-01-30
T000016,V006,D30,30.839352008261706,231.54592481440778,2025-01-16
T000017,V017,D25,302.1361162455277,310.6223467880411,2025-09-14
T000018,V015,D27,574.3801051587404,220.23974419321272,2025-02-10
T000019,V049,D10,483.9898734365513,47.668006646584004,2025-04-24
T000020,V017,D30,555.1385006140241,221.39864054994453,2025-02-03
T000021,V047,D15,947.1171826853241,76.86555343359315,2025-10-20
T000022,V048,D10,15.071765284878925,193.61027181514498,2025-09-01
T000023,V025,D03,736.8892273340322,239.02639005369815,2025-10-31
T000024,V040,D23,65.23918636497373,21.805519177061978,2025-05-26
T000025,V003,D05,206.30694123896353,303.2535766208235,2025-09-27
T000026,V027,D26,866.1259699940332,159.8007862291943,2025-01-05
T000027,V019,D22,490.35350736828775,261.22156370036737,2026-01-02
T000028,V033,D08,576.192614077471,115.3227214918763,2025-03-06
T000029,V012,D11,782.6636199873963,161.70948790969854,2025-12-18
T000030,V023,D07,1101.1587499879265,323.7724030045438,2025-11-12
T000031,V049,D26,814.5630295827507,67.90262242294452,2025-01-26
T000032,V037,D11,583.6214550996618,209.2653099029523,2025-06-04
T000033,V007,D01,595.0936207360198,332.66196638484644,2025-01-02
T000034,V023,D06,610.7058945295001,303.8078993927754,2025-11-13
T000035,V005,D26,88.90890743212952,173.4481488930932,2026-01-01
T000036,V005,D11,854.6436707406614,291.9415893324647,2025-10-16
T000037,V013,D28,758.4649580637506,330.70432238504384,2025-02-19
T000038,V041,D01,78.73097675333973,174.68751271684113,2025-02-26
T000039,V016,D14,893.5927114631318,37.22600029434452,01/01/2026
T000040,V009,D26,1045.5453802661937,162.08369481144788,2025-09-22
T000041,V009,D16,907.1204421006032,136.7981436165007,2025-03-01
T000042,V033,D21,521.2785662584988,303.07926926747496,2025-09-21
T000043,V015,D22,1072.16694236659,148.22098144382798,2025-09-23
T000044,V025,D17,645.500047336379,333.821763948936,2025-07-30
T000045,V032,D06,520.2563522337846,39.154799549214104,2025-11-10
T000046,V010,D18,902.4518874949739,108.92521147941613,2025-01-08
T000047,V044,D28,318.3738956818001,160.3095079129738,2025-02-19
T000048,V049,D15,16.95456374635036,96.77252779215392,2025-11-18
T000049,V007,D03,160.12775497282732,187.1509463106032,2025-02-22
T000050,V003,D07,910.3640424615315,335.81421655271834,2025-02-27
T000051,V025,D11,780.5665398533522,173.56444314383907,2025-05-18
T000052,V015,D05,174.03647920864137,179.40874050885373,2025-01-12
T000053,V009,D05,655.4692518408277,207.44834184850106,2025-12-07
T000054,V026,D30,960.2950179995815,138.22001216984353,2026-01-18
T000055,V022,D28,281.1620511095207,212.3579805343002,2025-03-23
T000056,V034,D16,840.8824376024088,104.49065490036034,2025-08-04
T000057,V038,D08,861.6973074486586,246.4595915407573,2025-12-12
T000058,V050,D06,692.3721333269397,237.635474198831,2025-04-14
T000059,V001,D13,1132.9590282056463,165.95456284508805,2025-06-21
T000060,V041,D02,331.4158217216986,66.63669517641344,2025-10-13
T000061,V016,D14,321.4816174716223,315.7579051835413,2025-05-19
T000062,V001,D08,795.47792070043,284.57865129007024,2025-02-19
T000063,V013,D09,657.1530392249301,58.4110346025971,2025-12-20
T000064,V009,D06,145.1385688582481,210.07122037492647,2025-04-30
T000065,V011,D01,1107.2049740765929,178.26743020350892,2025-06-20
T000066,V003,D27,540.3039274575275,121.31240590357935,2025-11-13
T000067,V024,D07,770.1523893691897,103.11642461810577,2025-05-21
T000068,V013,D17,1017.8779894775408,89.58020158033601,2025-04-09
T000069,V017,D14,414.0061031174229,129.5740411774956,2025-03-08
T000070,V004,D06,536.1938288935339,100.0192896211029,2025-06-12
T000071,V015,D10,358.9740190470731,339.7819344541438,2025-11-09
T000072,V007,D07,475.9799663024408,231.63144025147795,2025-05-14
T000073,V013,D21,1110.7541727041366,158.5185794195073,2025-05-16
T000074,V035,D27,343.70128560196105,127.77642026484463,2026-01-28
T000075,V039,D18,592.8976136707167,21.649196887402752,2025-09-28
T000076,V035,D20,549.6627900003631,82.02853079873445,2025-01-06
T000077,V030,D07,1182.707656150736,192.68952759207053,2026-01-12
T000078,V035,D11,594.6742650363647,233.8190985769954,2025-07-13
T000079,V011,D26,241.01442048786112,218.28974711487743,2025-12-15
T000080,V001,D09,867.6876220477499,120.90255674017504,2025-12-25
T000081,V045,D04,1151.7679138935455,15.105419361923168,2025-07-07
T000082,V013,D07,282.7192924481776,258.31760441315794,2025-10-08
T000083,V008,D05,261.2403502356824,330.56228184554783,2026-01-28
T000084,V043,D19,641.4180588656756,75.07628647856893,2025-08-03
T000085,V028,D08,1004.8493328435677,165.9058190306237,2025-11-23
T000086,V007,D15,380.9904824658282,218.3955172291175,2025-05-07
T000087,V017,D03,1031.1655915010135,59.84140013574971,2025-07-26
T000088,V009,D06,1061.363264998232,13.804882293950817,2025-05-15
T000089,V020,D09,514.9889107202175,14.613017730144742,2025-03-21
T000090,V038,D27,740.3881002430013,58.00095078579306,2025-09-02
T000091,V016,D14,100.46648396885882,184.82247462843534,2025-07-01
T000092,V012,D15,670.3275159052538,334.6671512524966,2025-11-18
T000093,V022,D17,177.22356087662507,31.95919801269614,2025-07-23
T000094,V043,D21,820.813623039098,82.54283067417028,2025-01-12
T000095,V047,D04,871.1009165979416,240.3021054817216,2025-11-08
T000096,V009,D21,827.9718288335619,114.73452249265331,2025-10-06
T000097,V015,D24,609.195652537267,113.53020391593924,2025-11-25
T000098,V031,D17,471.81546010974415,64.10473141225152,2025-08-17
T000099,V010,D10,446.9420962132003,12.928640228523356,2025-11-11
T000100,V025,D08,923.2337784134652,198.77140580824528,2025-08-06
T000101,V016,D07,552.0115673230356,119.3944706494489,2025-11-15
T000102,V043,D02,218.07798346964904,270.69894448498263,2025-02-07
T000103,V003,D20,278.9210225153209,281.14377013750516,2025-12-14
T000104,V005,D13,612.1168670563778,115.96001338623202,2025-02-09
T000105,V026,D22,1007.7206153701499,37.85820092679134,2025-12-16
T000106,V046,D10,787.1622998578133,342.6430140843369,2025-10-16
T000107,V033,D17,507.23694704911253,227.00704167972663,2025-06-11
T000108,V006,D13,448.13544172584557,344.0843177358985,2025-12-18
T000109,V014,D20,97.79348561682549,286.9252512582574,2025-12-31
T000110,V024,D28,1122.965272746814,315.8465461063515,2025-02-05
T000111,V011,D05,965.2356845591593,291.82816643792205,2025-11-17
T000112,V042,D17,448.2984333974568,233.0503852609544,2025-01-29
T000113,V030,D01,532.4616750465717,167.74354133619858,2025-08-19
T000114,V012,D06,39.53159796380196,104.69523293249101,2025-02-19
T000115,V025,D14,399.16204840661015,169.90496377432976,2025-06-21
T000116,V036,D17,551.9542850931914,135.7327233768123,2025-05-09
T000117,V044,D01,122.0726438127147,43.19267664952722,2025-07-17
T000118,V017,D03,354.7435902355398,296.2545180719758,2025-12-16
T000119,V037,D11,151.956015121923,120.74251183709278,2025-07-27
T000120,V029,D20,926.6955022657822,85.31307368367432,2025-03-27
T000121,V035,D24,1035.0924297265988,195.08730082950842,2025-08-08
T000122,V018,D25,292.9433394571606,226.74665457027263,2025-02-12
T000123,V044,D16,1075.4447548946941,253.0740283485061,2025-07-11
T000124,V026,D10,647.7915852441738,212.58605946872757,2025-05-25
T000125,V015,D04,691.38535364814,299.9473640249685,2025-12-12
T000126,V009,D11,1015.5879031845565,108.36852423430959,2025-05-05
T000127,V008,D25,1091.6090401763472,262.6077048005435,2025-04-14
T000128,V004,D24,732.1224771460569,303.8941695310889,2025-09-20
T000129,V047,D23,70.95221478417888,28.01744052067498,2025-05-21
T000130,V044,D29,444.37261610283684,224.25289839499305,2025-12-16
T000131,V030,D14,819.4175808706284,7.1751695391851875,2025-03-08
T000132,V005,D11,325.76115777069936,311.03175203527735,2025-03-02
T000133,V033,D28,715.1890104160151,6.546849169619108,2025-03-12
T000134,V015,D08,117.19629925587857,260.24340186023414,2026-02-17
T000135,V025,D09,1053.1155503435587,9.858520114128517,2025-09-03
T000136,V032,D10,1037.6328499892923,88.24839927322668,2026-01-21
T000137,V042,D04,363.6967569497721,322.7416059628832,2026-01-23
T000138,V030,D21,377.85424552102654,75.76099908900675,2026-01-19
T000139,V021,D11,1045.9763118225208,135.18026629851548,2025-02-18
T000140,V014,D01,595.6307553642636,37.589615581149346,2025-10-17
T000141,V030,D20,859.7942201850094,139.49859783057124,2025-01-14
T000142,V005,D11,343.57354031049925,65.16337126486053,2025-11-23
T000143,V044,D21,163.4797000135381,56.77518201588585,01/01/2026
T000144,V035,D22,666.9473816051891,305.4369416228548,2025-11-09
T000145,V036,D27,398.3825363749299,45.18856612402774,2025-01-17
T000146,V039,D13,978.7838334433991,228.2773879953236,2025-08-21
T000147,V001,D03,,246.36663003243874,2026-02-02
T000148,V006,D12,334.6427656642411,306.5670890667752,2025-12-10
T000149,V030,D03,1010.0426053301089,110.1546139074194,2026-02-12
T000150,V012,D20,682.1471615028127,249.5470392546395,2025-08-10
T000151,V025,D08,205.443641668967,309.15758290946656,2025-05-25
T000152,V035,D20,924.8954786231379,150.44023947281102,2025-01-12
T000153,V026,D19,45.4405430352323,134.44827484445034,2025-07-10
T000154,V049,D08,380.77166527186967,227.02374437200442,2025-05-12
T000155,V021,D29,242.4341666104096,101.91046998749881,2025-05-24
T000156,V046,D17,663.1895416685561,46.052848290192834,2025-07-11
T000157,V037,D06,33.319995167622004,27.566467957818546,01/01/2026
T000158,V014,D13,1095.5941991008435,234.2009877004906,2025-06-03
T000159,V034,D15,686.037825393475,124.11621017535684,2026-01-31
T000160,V012,D28,578.5672201679022,161.88524197057538,2025-12-07
T000161,V009,D15,1011.3614335079717,124.90455517021881,2025-11-01
T000162,V014,D08,189.52267100546962,105.89760078531071,2025-07-02
T000163,V001,D10,258.22043779726704,247.76091980765574,2025-07-09
T000164,V048,D30,1043.280130131644,244.44084787515163,2025-07-12
T000165,V043,D29,1070.2842057379798,33.95313396281596,2026-01-08
T000166,V047,D06,593.7224579036035,142.15695846274824,2025-01-22
T000167,V044,D24,564.2804999418511,10.752708490071168,2025-01-05
T000168,V017,D17,247.43585782502078,212.89476185480046,2025-06-01
T000169,V006,D27,895.1553641210469,114.98832528520221,2025-01-02
T000170,V011,D02,847.1895796419938,30.234442907859517,2025-08-07
T000171,V011,D11,91.46560405351973,88.2279838954591,2025-08-18
T000172,V030,D16,237.13587090746645,314.09655156959764,2026-01-15
T000173,V024,D06,760.6614023107154,96.28769577146205,2026-01-20
T000174,V023,D01,1124.5405423693933,318.5349575246716,2025-11-14
T000175,V046,D24,130.39940885231294,304.8130489432909,2025-04-08
T000176,V009,D26,966.9530598978938,89.21400019959347,2025-08-02
T000177,V002,D20,1132.4882688858975,69.040493013369,01/01/2026
T000178,V001,D14,1195.2094867433116,115.13472210805463,2025-04-28
T000179,V005,D09,204.19662990021757,257.62038362109087,2025-10-04
T000180,V024,D02,995.8033001371541,257.42708093732165,2025-09-28
T000181,V033,D14,697.8599426008059,91.93437702671947,2025-12-04
T000182,V019,D23,790.8324438669183,286.8189559637883,2025-08-27
T000183,V020,D04,475.203648871694,27.21742209650551,2025-03-21
T000184,V038,D14,1017.1867459054506,61.91774058591049,2025-01-09
T000185,V010,D30,108.22035815567733,260.6428156508988,2025-10-08
T000186,V005,D20,345.8733995872413,114.67448381176781,2025-07-11
T000187,V036,D27,703.744600515648,348.26809656167416,2025-12-08
T000188,V015,D11,30.492692558450216,154.95151655894585,2025-01-17
T000189,V013,D13,914.6343751355714,227.1522824857254,2025-09-05
T000190,V011,D20,65.70383377030171,50.214486412155175,2025-06-19
T000191,V006,D28,1054.8178856387422,193.9119385290795,2025-01-06
T000192,V023,D27,461.6515395212642,239.4656790772657,2025-06-07
T000193,V029,D16,438.6429462118383,185.25607856748442,2025-03-28
